id_documento,titulo,fecha
151,Presidente supervisa obras conjuntas con gobierno de Estados Unidos en Nogales, Sonora,18.02.2023
152,Presidente inaugura primera etapa de la Central Fotovoltaica Puerto Peñasco en Sonora,18.02.2023
153,Sonora es de los estados más atendidos por el Gobierno de México, afirma presidente,18.02.2023
154,Presidente inaugura Camino Tonanitla al AIFA; será libre de cuota,18.02.2023
155,Presidente podría demandar por daño moral al abogado de Genaro García Luna; donará recursos de reparación a víctimas de Felipe Calderón,18.02.2023
156,Museo Arqueológico del Puuc expondrá hallazgos del INAH en ruta del Tren Maya,18.02.2023
157,Federación declarará áreas naturales protegidas predios de Fonatur; sexenio concluirá con más de un millón de áreas de conservación,18.02.2023
158,CFE Internet para Todos conectará este año a todas las cabeceras municipales del país; beneficiará a 20 millones de mexicanos,18.02.2023
159,Baja California y Tabasco inician diagnóstico para adherirse al Plan de Salud IMSS Bienestar,18.02.2023
160,Brigada de rescate en Turquía alista regreso a México; donación de víveres rebasa meta,14.02.2023
161,Secretaría de Salud alerta sobre efectos de clonazepam en niñas, niños y adolescentes que hacen reto viral de TikTok,14.02.2023
162,COVID-19 en México registra seis semanas consecutivas de reducción,14.02.2023
163,México donará 6 millones de dólares a Siria para ayudar a atender emergencia por sismos,14.02.2023
164,Tren Maya genera más de seis mil empleos locales en tramo 5 sur,14.02.2023
165,Flora y fauna en tramo 5 del Tren Maya están protegidas a través de obras y creación de Áreas Naturales Protegidas,14.02.2023
166,Sistema de salud pública se consolidará este año con apoyo de médicos de Cuba: presidente,14.02.2023
167,Fotogalería. Visita del presidente de Cuba a México,14.02.2023
168,Presidente reitera llamado a EE.UU. a levantar bloqueo a Cuba en entrega de Condecoración del Águila Azteca a Miguel Díaz-Canel,14.02.2023
169,México y Cuba fortalecen lazos de cooperación durante encuentro en Campeche,14.02.2023
170,Presidente pronostica baja de la inflación en México,10.02.2023
171,Palabras del presidente Andrés Manuel López Obrador en el Día de la Fuerza Aérea Mexicana, desde Zapopan, Jalisco,10.02.2023
172,Capacidades de la Fuerza Aérea Mexicana se destinan a salvar vidas y beneficiar al pueblo, afirma presidente,10.02.2023
173,México, uno de los primeros países en llegar a Turquía para brindar ayuda humanitaria: presidente,10.02.2023
174,50 cuarteles de la Guardia Nacional garantizarán paz y tranquilidad en Jalisco,10.02.2023
