id , palabra , fecha
75,positivos,21.03.2023
75,México,,21.03.2023
75,afirma,21.03.2023
75,presidente;,21.03.2023
75,apoyo,21.03.2023
75,popular,21.03.2023
75,consolidará,21.03.2023
75,primera,21.03.2023
75,etapa,21.03.2023
75,transformación,21.03.2023
76,Cuarta,21.03.2023
76,Transformación,21.03.2023
76,garantizado,21.03.2023
76,soberanía,,21.03.2023
76,afirma,21.03.2023
76,presidente,21.03.2023
76,85,21.03.2023
76,Aniversario,21.03.2023
76,Expropiación,21.03.2023
76,Petrolera,21.03.2023
77,Jamás,21.03.2023
77,permitiremos,21.03.2023
77,violen,21.03.2023
77,soberanía,21.03.2023
77,pisoteen,21.03.2023
77,dignidad,21.03.2023
77,patria:,21.03.2023
77,presidente,21.03.2023
78,Discurso,21.03.2023
78,presidente,21.03.2023
78,Andrés,21.03.2023
78,Manuel,21.03.2023
78,López,21.03.2023
78,Obrador,21.03.2023
78,85,21.03.2023
78,Años,21.03.2023
78,Expropiación,21.03.2023
78,Petrolera,21.03.2023
79,4T,21.03.2023
79,recupera,21.03.2023
79,soberanía,21.03.2023
79,energética,21.03.2023
79,trabajadores,21.03.2023
79,Pemex,,21.03.2023
79,afirma,21.03.2023
79,presidente,21.03.2023
80,En,17.03.2023
80,julio,,17.03.2023
80,refinería,17.03.2023
80,Dos,17.03.2023
80,Bocas,17.03.2023
80,iniciará,17.03.2023
80,producción,17.03.2023
80,gasolinas,,17.03.2023
80,anuncia,17.03.2023
80,presidente,17.03.2023
81,Lázaro,17.03.2023
81,Cárdenas,17.03.2023
81,Batel,17.03.2023
81,deja,17.03.2023
81,Coordinación,17.03.2023
81,Asesores,17.03.2023
81,Presidencia,17.03.2023
81,integrarse,17.03.2023
81,CELAC,,17.03.2023
81,confirma,17.03.2023
81,presidente,17.03.2023
82,Tabasco,17.03.2023
82,reduce,17.03.2023
82,incidencia,17.03.2023
82,delictiva;,17.03.2023
82,generación,17.03.2023
82,empleos,17.03.2023
82,Programas,17.03.2023
82,Bienestar,17.03.2023
82,impulsan,17.03.2023
82,desarrollo,17.03.2023
82,estado:,17.03.2023
82,presidente,17.03.2023
83,Presidente,17.03.2023
83,enumera,17.03.2023
83,Convención,17.03.2023
83,Bancaria,17.03.2023
83,diez,17.03.2023
83,fortalezas,17.03.2023
83,México,17.03.2023
83,materia,17.03.2023
83,económica,17.03.2023
84,Refinería,17.03.2023
84,Madero,17.03.2023
84,producirá,17.03.2023
84,finales,17.03.2023
84,2023,17.03.2023
84,80,17.03.2023
84,mil,17.03.2023
84,barriles,17.03.2023
84,diarios,17.03.2023
84,combustibles,17.03.2023
85,Presidente,17.03.2023
85,compromete,17.03.2023
85,fortalecer,17.03.2023
85,atención,17.03.2023
85,personas,17.03.2023
85,discapacidad,17.03.2023
86,Con,17.03.2023
86,rescate,17.03.2023
86,industria,17.03.2023
86,petrolera,,17.03.2023
86,México,17.03.2023
86,avanza,17.03.2023
86,autosuficiencia,17.03.2023
86,energética:,17.03.2023
86,presidente,17.03.2023
87,Presidente,17.03.2023
87,propone,17.03.2023
87,alternativa,17.03.2023
87,prohibir,17.03.2023
87,importación,17.03.2023
87,fentanilo,17.03.2023
87,uso,17.03.2023
87,médico,17.03.2023
88,Más,17.03.2023
88,4,17.03.2023
88,mil,17.03.2023
88,especialistas,17.03.2023
88,integran,17.03.2023
88,IMSS,17.03.2023
88,Bienestar;,17.03.2023
88,gobierno,17.03.2023
88,convoca,17.03.2023
88,jubilados,17.03.2023
88,fortalecer,17.03.2023
88,sistema,17.03.2023
88,salud,17.03.2023
89,Gobierno,17.03.2023
89,México,17.03.2023
89,incluye,17.03.2023
89,medicina,17.03.2023
89,tradicional,17.03.2023
89,Plan,17.03.2023
89,Salud,17.03.2023
89,IMSS,17.03.2023
89,Bienestar,17.03.2023
90,COVID-19,14.03.2023
90,México,14.03.2023
90,continúa,14.03.2023
90,tendencia,14.03.2023
90,reducción:,14.03.2023
90,Secretaría,14.03.2023
90,Salud,14.03.2023
91,México,14.03.2023
91,continuará,14.03.2023
91,cooperación,14.03.2023
91,Estados,14.03.2023
91,Unidos,,14.03.2023
91,subordinación:,14.03.2023
91,presidente,14.03.2023
92,México,14.03.2023
92,seguro,14.03.2023
92,Estados,14.03.2023
92,Unidos:,14.03.2023
92,presidente;,14.03.2023
92,atención,14.03.2023
92,causas,14.03.2023
92,violencia,14.03.2023
92,promueve,14.03.2023
92,paz,,14.03.2023
92,afirma,14.03.2023
93,Presidente,14.03.2023
93,celebra,14.03.2023
93,triunfo,14.03.2023
93,Selección,14.03.2023
93,Mexicana,14.03.2023
93,Béisbol,14.03.2023
93,Estados,14.03.2023
93,Unidos,14.03.2023
93,Clásico,14.03.2023
93,Mundial,14.03.2023
94,INAH,14.03.2023
94,rescatará,14.03.2023
94,11,14.03.2023
94,mil,14.03.2023
94,vestigios,14.03.2023
94,tramo,14.03.2023
94,7,14.03.2023
94,Tren,14.03.2023
94,Maya;,14.03.2023
94,concluyen,14.03.2023
94,trabajos,14.03.2023
94,prospección,14.03.2023
94,toda,14.03.2023
94,ruta,14.03.2023
95,Presidente,14.03.2023
95,lamenta,14.03.2023
95,fallecimiento,14.03.2023
95,primer,14.03.2023
95,actor,,14.03.2023
95,Ignacio,14.03.2023
95,López,14.03.2023
95,Tarso,14.03.2023
96,Presidente,14.03.2023
96,supervisa,14.03.2023
96,futura,14.03.2023
96,ruta,14.03.2023
96,electrificada,14.03.2023
96,Tren,14.03.2023
96,Maya,14.03.2023
97,Consulados,14.03.2023
97,México,14.03.2023
97,exhibirán,14.03.2023
97,intenciones,14.03.2023
97,electoreras,14.03.2023
97,republicanos,14.03.2023
97,Estados,14.03.2023
97,Unidos,,14.03.2023
